Index,Singer,Song,Lyrics,Collected By
12,Auli'i Cravalho,How far I'll go,"I've been staring at the edge of the water
Long as I can remember, never really knowing why
I wish I could be the perfect daughter
But I come back to the water, no matter how hard I try

Every turn I take, every trail I track
Every path I make, every road leads back
To the place I know where I cannot go
Where I long to be

See the line where the sky meets the sea
It calls me
And no one knows, how far it goes
If the wind in my sail on the sea stays behind me
One day I'll know
If I go there's just no telling how far I'll go

I know everybody on this island seems so happy, on this island
Everything is by design
I know everybody on this island has a role, on this island
So maybe I can roll with mine

I can lead with pride, I can make us strong
I'll be satisfied if I play along
But the voice inside sings a different song
What is wrong with me?

See the light as it shines on the sea
It's blinding
But no one knows, how deep it goes
And it seems like it's calling out to me, so come find me
And let me know
What's beyond that line, will I cross that line?

See the line where the sky meets the sea
It calls me
And no one knows, how far it goes
If the wind in my sail on the sea stays behind me
One day I'll know
How far I'll go",Ponshriharini
13,Christina Perri,A Thousand Years,"Heart beats fast
Colours and promises
How to be brave?
How can I love when I'm afraid to fall?
But watching you stand alone
All of my doubt
Suddenly goes away somehow

One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

Time stands still
Beauty in all she is
I will be brave
I will not let anything take away
What's standing in front of me
Every breath
Every hour has come to this

One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more

One step closer
One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more",Ponshriharini
14,"G-Eazy, Kehlani",Good life,"[Kehlani:]
Raise a cup up for all my day ones
Two middle fingers for the haters
Life's only getting greater
Straight up from nothing we go
Higher than the highest skyscraper
No Little League, we major
The proof is in the paper

[Kehlani (G-Eazy):]
We put the good in the good in the good life
We put the good in the good in the good life
We put the bad in the past, now we alright
(Eazy)
Hey, hey, hey
(Kehlani, I got you)
Hey, hey

[G-Eazy:]
And it's a feeling that I can't explain
How you make it and your team still stay the same
Stay down from the jump and they never change
Man, this a moment I could never trade, yeah
I told my moms not to stress no more
Go hit the Bentley store and no credit card debts no more
(Love you mom)
I bought the crib and it's in escrow now
So you don't ever have to worry about how you gon' pay rent no more

I put my team in position, now they makin' a killin'
Stackin' blue faces straight to the ceiling
Out in Vegas I'm with 'em
Ordering bottles of that Ace when they sit 'em
'Til there ain't enough space up on the table to fit 'em
Go ahead and...

[Kehlani:]
Raise a cup up for all my day ones
Two middle fingers for the haters
Life's only getting greater
Straight up from nothing we go
Higher than the highest skyscraper
No Little League, we major
The proof is in the paper

[Kehlani (G-Eazy):]
We put the good in the good in the good life
(The good life)
We put the good in the good in the good life
(I said the good life)
We put the bad in the past, now we alright
(We alright)
Hey, hey, hey
(Yeah, yeah)
Hey, hey

[G-Eazy:]
Pour some Clicquot in the glass, have a toast to success
No looking back from here, no more being broke and distressed
I put my heart into this game like I opened my chest
We only pray for more M's while you hope for the best
We make these plays, man I'm finessin' these checks
Times up for everybody, I'm collecting on debts
And I swear this champagne just tastes better on jets
I'm just out here being great, man, this is as real as it gets

I put my team in position, now they makin' a killin'
Stackin' blue faces straight to the ceiling
Out in Vegas I'm with 'em
Ordering bottles of that Ace when they sit 'em
'Til there ain't enough space up on the table to fit 'em
Go ahead and...

[Kehlani (G-Eazy):]
Raise a cup up for all my day ones
Two middle fingers for the haters
Life's only getting greater
Straight up from nothing we go
(Yeah, go up)
Higher than the highest skyscraper
No Little League, we major
(Yeah)
The proof is in the paper
(You know)

[Kehlani (G-Eazy):]
We put the good in the good in the good life
(The good life)
We put the good in the good in the good life
(I said the good life)
We put the bad in the past, now we alright
(We alright)
Hey, hey, hey, hey, hey

[Kehlani:]
Damn right, from the bottom we rise
So high, now we cover sky lights
We're building an empire
We owe it all to each other
Just look at us right now, destined
We're so good right now, legend
Here's to you and I
Raise 'em to the sky

[Kehlani (G-Eazy):]
We put the good in the good in the good life
(Yeah)
We put the good in the good in the good life
(Yeah)
We put the bad in the past, now we alright
(Yeah, you know), uh
We put the good in the good in the good life
(The good life)
We put the good in the good in the good life
(I said the good life)
We put the bad in the past, now we alright
(We alright)
Hey, hey, hey, hey, hey

[G-Eazy:]
Uh, the good life",Ponshriharini
15,Maroon 5,Memories,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you

There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (Ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got (Oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (No, no)
Toast to the ones here today (Ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (Ayy)
And the memories bring back, memories bring back you

Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)
Memories bring back, memories bring back you

Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you",Ponshriharini
16,Selena Gomez,Lose you to love me,"You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off-key in my chorus
'Cause it wasn't yours
I saw the signs and I ignored it
Rose-colored glasses all distorted
Set fire to my purpose
And I let it burn
You got off on the hurtin'
When it wasn't yours, yeah

We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me

I gave my all and they all know it
You tore me down and now it's showing
In two months you replaced us
Like it was easy
Made me think I deserved it
In the thick of healing, yeah

We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me

You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off key in my chorus

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to hate you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me
To love, love, yeah
To love, love, yeah
To love, yeah

And now the chapter is closed and done
To love love, yeah
To love love, yeah
To love, yeah
And now it's goodbye, it's goodbye for us",Ponshriharini
17,Olivia Rodrigo,Driver's license,"I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today I drove through the suburbs
And pictured I was driving home to you

And I know we weren't perfect but I've never felt this way for no one
Oh, and I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever now I drive alone past your street

Red lights
Stop signs
I still see your face
In the white cars
Front yards
Can't drive past the places
We used to
Go to
'Cause I still fucking love you, babe

Sidewalks
We crossed
I still hear your voice
In the traffic
We're laughing
Over all the noise
God, I'm so blue
Know we're through
But I still fucking love you, babe

I know we weren't perfect but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever now I drive alone past your street
Yeah, you said forever now I drive alone past your street",Ponshriharini
18,Olivia Rodrigo,"Jealousy, jealousy","I kinda wanna throw my phone across the room
'Cause all I see are girls too good to be true
With paper-white teeth and perfect bodies, wish I didn't care
I know their beauty's not my lack, but it feels like that
Weight is on my back, and I can't let it go

Com-comparison is killing me slowly
I think I think too much 'bout kids who don't know me
I'm so sick of myself, I'd rather be, rather be
Anyone, anyone else, my jealousy, jealousy started following me
Started following me

And I see everyone getting all the things I want
I'm happy for them, but then again I'm not
Just cool vintage clothes and vacation photos
I can't stand it, oh, God, I sound crazy
Their win is not my loss
I know it's true, but I can't help getting caught up in it all

Com-comparison is killing me slowly
I think I think too much 'bout kids who don't know me
I'm so sick of myself, rather be, rather be
Anyone, anyone else, my jealousy, jealousy

All your friends are so cool, you go out every night
In your daddy's nice car, yeah, you're living the life
Got a pretty face, pretty boyfriend too
I wanna be you so bad and I don't even know you
All I see is what I should be
Happier, prettier, jealousy, jealousy
All I see, what I should be
I'm losing it, all I get's jealousy, jealousy

Com-comparison is killing me slowly
I think I think too much 'bout kids who don't know me
And I'm so sick of myself, rather be, rather be
Anyone, anyone else, my jealousy, jealousy
I'm so sick of myself, I'd rather be, rather be
Anyone, anyone else, jealousy, jealousy started following me",Ponshriharini
19,Dua LIpa,New Rules,"One, one, one...

Talkin' in my sleep at night
Makin' myself crazy
(Out of my mind, out of my mind)
Wrote it down and read it out
Hopin' it would save me
(Too many times, too many times)
My love, he makes me feel like nobody else
Nobody else
But my love, he doesn't love me, so I tell myself
I tell myself

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

I keep pushin' forwards, but he keeps pullin' me backwards
(Nowhere to turn) no way
(Nowhere to turn) no
Now I'm standing back from it, I finally see the pattern
(I never learn, I never learn)
But my love, he doesn't love me, so I tell myself
I tell myself
I do, I do, I do

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

Practice makes perfect
I'm still tryna learn it by heart
(I got new rules, I count 'em)
Eat, sleep, and breathe it
Rehearse and repeat it, 'cause I
(I got new, I got new, I...)

One, don't pick up the phone
You know he's only calling 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
(Oh, whoa-oh)
I gotta tell them to myself
I got new rules, I count 'em
(Baby, you know I count 'em)
I gotta tell them to myself

Don't let him in, don't let him in
Don't, don't, don't, don't
Don't be his friend, don't be his friend
Don't, don't, don't, don't
Don't let him in, don't let him in
Don't, don't, don't, don't
Don't be his friend, don't be his friend
Don't, don't, don't, don't
You gettin' over him
",Ponshriharini
20,Anne marie,2002,"I will always remember
The day you kissed my lips
Light as a feather
And it went just like this
No, it's never been better
Than the summer of two thousand and two

We were only eleven
But acting like grown-ups
Like we are in the present
Drinking from plastic cups
Singing ""love is forever and ever""
Well, I guess that was true

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
And it went like this, say

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young, uh
Singing at the top of both our lungs

Now we're under the covers
Fast forward to eighteen
We are more than lovers
Yeah, we are all we need
When we're holding each other
I'm taken back to two thousand and two

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
And it went like this, say

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
Oh, now

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young, uh
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love
On the day we fell in love
On the day we fell in love
On the day we fell in love, love, love",Ponshriharini
21,"Ariana Grande, Justin bieber",Stuck with you,"Mm mm mm
Hey, yeah
(That's just for fun)
(What?)
(I'm stuck with you)
(Hehehe)
Ah ah

I'm not one to stick around
One strike and you're out, baby
Don't care if I sound crazy
But you never let me down, no, no
That's why when the sun's up I'm stayin'
Still layin' in your bed singin'

Ooh, ooh, ooh, ooh
Got all this time on my hands
Might as well cancel our plans, yeah
I could stay here for a lifetime

So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you

So go ahead
And drive me insane
Baby, run your mouth
I still wouldn't change
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you, baby

There's nowhere we need to be, no, no, no
I'ma get to know you better
Kinda hope we're here forever
There's nobody on these streets
If you told me that the world's ending
Ain't no other way that I could spend it

Oh, oh, oh, oh
Got all this time in my hands
Might as well cancel our plans
I could stay here forever

So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you

So go ahead
And drive me insane
Baby, run your mouth
I still wouldn't change
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you

Woah, oh, oh
Baby, come take all my time
Go on, make me lose my mind
We got all that we need here tonight

I lock the door (Lock the door)
And throw out the key
Can't fight this no more (Can't fight this no more)
It's just you and me
And there's nothing I'd, nothing I'd rather do
I'm stuck with you, stuck with you, stuck with you

So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change all this
Lovin' you, hatin' you, wantin' you
I'm stuck with you, stuck with you, stuck with
You
Stuck with you, stuck with you, stuck with you",Ponshriharini
22,Olivia Rodrigo,Deja Vu,"Car rides to Malibu
Strawberry ice cream, one spoon for two
And tradin' jackets
Laughin' 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Bein' annoying, singin' in harmony
I bet she's braggin'
To all her friends, sayin' you're so unique, hmm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? Ah, hmm
Do you get déjà vu, huh?

Do you call her, almost say my name?
'Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type
And I bet that she knows Billy Joel
'Cause you played her ""Uptown Girl""
You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (I love you)

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was the show we talked about
Played you the song she's singing now when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know
That I was the one who taught you Billy Joel
A different girl now, but there's nothing new

I know you get déjà vu
I know you get déjà vu
I know you get déjà vu
",Ponshriharini
23,Olivia Rodrigo,Good 4 U,"Well good for you, I guess you moved on really easily
You found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world

And good for you, I guess that you've been working on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand new girl

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
God, I wish that I could do that

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well good for you, I guess you're getting everything you want
You bought a new car and your career's really taking off
It's like we never even happened, baby
What the fuck is up with that?

And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
God, I wish that I could do that

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
Like a damn sociopath

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well good for you, I guess you moved on really easily",Ponshriharini
